NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
igrok-la.cenic.net                         Ready                         <none>                 548d     v1.23.14   137.164.54.252    <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               docker://20.10.12               us-west
igrok-sunnyvale.cenic.net                  Ready                         <none>                 406d     v1.23.14   137.164.54.250    <none>        Ubuntu 20.04.3 LTS      5.4.0-125-generic               containerd://1.5.9              us-west
jupyter.calit2.optiputer.net               Ready                         <none>                 3y158d   v1.23.14   67.58.50.67       <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://19.3.13                us-west
k8-1.gpn.onenet.net                        Ready                         <none>                 3y68d    v1.23.14   156.110.193.140   <none>        CentOS Linux 7 (Core)   5.6.10-1.el7.x86_64             docker://20.10.9                us-central
k8s-3090-01.calit2.optiputer.net           Ready                         <none>                 329d     v1.23.14   67.58.53.190      <none>        Ubuntu 20.04.4 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-3090-01.clemson.edu                    Ready,SchedulingDisabled      <none>                 324d     v1.23.14   130.127.217.22    <none>        Ubuntu 20.04.4 LTS      5.4.0-139-generic               containerd://1.5.9              us-east
k8s-3090-01.usd.edu                        Ready                         <none>                 245d     v1.23.14   206.209.0.22      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-central
k8s-3090-02.clemson.edu                    Ready                         <none>                 307d     v1.23.14   130.127.217.23    <none>        Ubuntu 20.04.4 LTS      5.4.0-137-generic               containerd://1.5.9              us-east
k8s-a100-01.calit2.optiputer.net           Ready                         <none>                 2y43d    v1.23.14   67.58.53.208      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               docker://20.10.12               us-west
k8s-a40-01.calit2.optiputer.net            Ready                         <none>                 651d     v1.23.14   67.58.53.154      <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-a6000-01.unm.edu                       Ready                         <none>                 276d     v1.23.14   64.106.80.34      <none>        Ubuntu 20.04.4 LTS      5.4.0-135-generic               containerd://1.5.9              us-mountain
k8s-altra-01.sdsc.optiputer.net            Ready                         <none>                 17d      v1.23.14   132.249.252.79    <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-bharadia-01.sdsc.optiputer.net         Ready                         <none>                 2y79d    v1.23.14   67.58.50.234      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-bharadia-02.sdsc.optiputer.net         Ready                         <none>                 174d     v1.23.14   67.58.50.235      <none>        Ubuntu 20.04.3 LTS      5.4.0-137-generic               containerd://1.5.9              us-west
k8s-bharadia-03.sdsc.optiputer.net         Ready                         <none>                 4y32d    v1.23.14   67.58.50.236      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
k8s-bharadia-04.sdsc.optiputer.net         Ready                         <none>                 4y32d    v1.23.14   67.58.50.237      <none>        Ubuntu 20.04.3 LTS      5.4.0-135-generic               containerd://1.5.9              us-west
k8s-ceph-01.ultralight.org                 Ready                         <none>                 219d     v1.23.14   198.32.43.88      <none>        Ubuntu 20.04.4 LTS      5.4.0-128-generic               containerd://1.5.9              us-west
